localization_id,english,español
title_lables,Labels,Etiquetas
title_command_daring,Daring,Audaz
title_command_grace,Grace,Gracia
title_command_heart,Heart,Corazón
title_command_wit,Wit,Ingenio
title_command_spirit,Spirit,Espíritu
blurb_command_daring,"Skill at arms and forcefulness, both in terms of muscle and personality.","Habilidad en armamento y fuerza, tanto en músculo como en personalidad."
blurb_command_grace,"Elegance, poise, and agility.","Elegancia, aplomo y agilidad."
blurb_command_heart,Emotional awareness and expression.,Conciencia emocional y expression.
blurb_command_wit,Cleverness and knowledge.,Ingenio y conocimiento.
blurb_command_spirit,Metaphysical power and integrity.,Poder metafísico e integridad.
