localization_id,english,español
title_command_conditions,Conditions,Condiciones
title_command_angry,Angry,Enojada
title_command_frightened,Frightened,Asustada
title_command_guilty,Guilty,Culpable
title_command_hopeless,Hopeless,Desesperanzada
title_command_insecure,Insecure,Insegura
blurb_command_angry,"–2 to **Figure Out A Person**. 
To clear, __break something important__ to you or someone you care about","–2 a **Descifrar a una persona**. 
Para remover, __rompe algo importante para ti o alguien que te importa."
blurb_command_frightened,"–2 to **Fight**. 
To clear, __run away__ and leave something important behind","–2 a **Pelea**. 
Para remover, __huye__ y deja algo importante detrás."
blurb_command_guilty,"–2 to **Emotional Support**. 
To clear, __sacrifice__ something important just to hurt yourself for what you did","–2 a **Soporte Emocional**. 
Para remover, __sacrifica__ algo importante solo para lastimarte a ti misma por lo que hiciste."
blurb_command_hopeless,"–2 to **Defy Disaster**. 
To clear, __lose yourself__ in escapism or pleasure when you should be doing something important","–2 a **Desafiar Desastre**. 
Para remover, __pierdete__ en el escapismo o el placer cuando deberías estar haciendo algo importante."
blurb_command_insecure,"–2 to **Entice**. 
To clear, __take rash action__ to confront the object of your jealousy and prove your worth without any plan or advice","–2 a **Atraer**. 
Para remover, __toma una acción impulsiva para confrontar el objeto de tus celos y probar tu valía sin algun plan o consejo."
