localization_id,English ,Español
command_labels,Labels,Etiquetas
command_daring,Daring,Audaz
command_grace,Grace,Gracia
command_heart,Heart,Corazón
command_wit,Wit,Ingenio
command_spirit,Spirit,Espíritu
blurb_daring,"Skill at arms and forcefulness, both in terms of muscle and personality.","Habilidad en armamento y fuerza, tanto en músculo como en personalidad."
blurb_grace,"Elegance, poise, and agility.","Elegancia, aplomo y agilidad."
blurb_heart,Emotional awareness and expression.,Conciencia emocional y expression.
blurb_wit,Cleverness and knowledge.,Ingenio y conocimiento.
blurb_spirit,Metaphysical power and integrity.,Poder metafísico e integridad.
